Date;Heure;Type;Nom;Disponibilite;Capacite;Statut;Latitude;Longitude
31/12/2025;00:03:56;Voiture;Antigone;171;239;Open;43.60871606;3.88881893
31/12/2025;00:03:56;Voiture;Comedie;388;664;Open;43.60856092;3.87976196
31/12/2025;00:03:56;Voiture;Corum;337;480;Open;43.61388821;3.88225773
31/12/2025;00:03:56;Voiture;Europa;488;591;Open;43.60784971;3.89253074
31/12/2025;00:03:56;Voiture;Foch;540;620;Open;43.61074912;3.87657084
31/12/2025;00:03:56;Voiture;Gambetta;158;452;Open;43.60695138;3.87137436
31/12/2025;00:03:56;Voiture;Gare;444;656;Open;43.604024;3.87891
31/12/2025;00:03:56;Voiture;Triangle;345;434;Open;43.60923384;3.88184418
31/12/2025;00:03:56;Voiture;Pitot;475;590;Open;43.61224494;3.87019117
31/12/2025;00:03:56;Voiture;Circe;1003;1200;Open;43.60495377;3.9178495
31/12/2025;00:03:56;Voiture;Garcia Lorca;380;400;Open;43.59098509;3.8907158
31/12/2025;00:03:56;Voiture;Mosson;311;328;Open;43.61623716;3.81966554
31/12/2025;00:03:56;Voiture;Sabines;164;285;Open;43.58383263;3.8602246
31/12/2025;00:03:56;Voiture;Sablassou;291;379;Open;43.63419194;3.92229536
31/12/2025;00:03:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;00:03:56;Voiture;Euromedecine;176;239;Open;43.63895359;3.82772365
31/12/2025;00:03:56;Voiture;Occitanie;557;615;Open;43.63456232;3.84859796
31/12/2025;00:03:56;Voiture;Vicarello;42;64;Open;43.63286;3.898411
31/12/2025;00:03:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;00:03:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;00:03:56;Voiture;Charles de Gaulle;170;260;Open;43.6285421;3.8977621
31/12/2025;00:03:56;Voiture;Polygone;1651;1911;Open;43.607697;3.88515
31/12/2025;00:03:56;Voiture;Arc de Triomphe;129;440;Open;43.61100267;3.8732007
31/12/2025;00:03:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;00:13:56;Voiture;Antigone;171;239;Open;43.60871606;3.88881893
31/12/2025;00:13:56;Voiture;Comedie;391;664;Open;43.60856092;3.87976196
31/12/2025;00:13:56;Voiture;Corum;339;480;Open;43.61388821;3.88225773
31/12/2025;00:13:56;Voiture;Europa;488;591;Open;43.60784971;3.89253074
31/12/2025;00:13:56;Voiture;Foch;544;620;Open;43.61074912;3.87657084
31/12/2025;00:13:56;Voiture;Gambetta;158;452;Open;43.60695138;3.87137436
31/12/2025;00:13:56;Voiture;Gare;445;656;Open;43.604024;3.87891
31/12/2025;00:13:56;Voiture;Triangle;345;434;Open;43.60923384;3.88184418
31/12/2025;00:13:56;Voiture;Pitot;484;590;Open;43.61224494;3.87019117
31/12/2025;00:13:56;Voiture;Circe;1007;1200;Open;43.60495377;3.9178495
31/12/2025;00:13:56;Voiture;Garcia Lorca;380;400;Open;43.59098509;3.8907158
31/12/2025;00:13:56;Voiture;Mosson;311;328;Open;43.61623716;3.81966554
31/12/2025;00:13:56;Voiture;Sabines;164;285;Open;43.58383263;3.8602246
31/12/2025;00:13:56;Voiture;Sablassou;291;379;Open;43.63419194;3.92229536
