Date,Heure,Type,Nom,Disponibilite,Capacite,Statut,Latitude,Longitude,Horodatage,Places_occupees,Taux_occupation_%
01/01/2026,00:03:57,Voiture,Antigone,173,239,Open,43.60871606,3.88881893,2026-01-01 00:03:57,66,27.615062761506277
01/01/2026,00:03:57,Voiture,Comedie,126,664,Open,43.60856092,3.87976196,2026-01-01 00:03:57,538,81.02409638554217
01/01/2026,00:03:57,Voiture,Corum,242,480,Open,43.61388821,3.88225773,2026-01-01 00:03:57,238,49.583333333333336
01/01/2026,00:03:57,Voiture,Europa,487,591,Open,43.60784971,3.89253074,2026-01-01 00:03:57,104,17.59729272419628
01/01/2026,00:03:57,Voiture,Foch,384,620,Open,43.61074912,3.87657084,2026-01-01 00:03:57,236,38.064516129032256
01/01/2026,00:03:57,Voiture,Gambetta,206,452,Open,43.60695138,3.87137436,2026-01-01 00:03:57,246,54.424778761061944
01/01/2026,00:03:57,Voiture,Gare,286,656,Open,43.604024,3.87891,2026-01-01 00:03:57,370,56.40243902439024
01/01/2026,00:03:57,Voiture,Triangle,274,434,Open,43.60923384,3.88184418,2026-01-01 00:03:57,160,36.86635944700461
01/01/2026,00:03:57,Voiture,Pitot,403,590,Open,43.61224494,3.87019117,2026-01-01 00:03:57,187,31.694915254237287
01/01/2026,00:03:57,Voiture,Circe,985,1200,Open,43.60495377,3.9178495,2026-01-01 00:03:57,215,17.916666666666668
01/01/2026,00:03:57,Voiture,Garcia Lorca,387,400,Open,43.59098509,3.8907158,2026-01-01 00:03:57,13,3.25
01/01/2026,00:03:57,Voiture,Mosson,306,328,Open,43.61623716,3.81966554,2026-01-01 00:03:57,22,6.707317073170732
01/01/2026,00:03:57,Voiture,Sabines,142,285,Open,43.58383263,3.8602246,2026-01-01 00:03:57,143,50.175438596491226
01/01/2026,00:03:57,Voiture,Sablassou,315,379,Open,43.63419194,3.92229536,2026-01-01 00:03:57,64,16.886543535620053
01/01/2026,00:03:57,Voiture,Saint Jean Le Sec,237,285,Open,43.57082225,3.8379312,2026-01-01 00:03:57,48,16.842105263157894
01/01/2026,00:03:57,Voiture,Euromedecine,169,239,Open,43.63895359,3.82772365,2026-01-01 00:03:57,70,29.288702928870293
01/01/2026,00:03:57,Voiture,Occitanie,547,615,Open,43.63456232,3.84859796,2026-01-01 00:03:57,68,11.05691056910569
01/01/2026,00:03:57,Voiture,Vicarello,40,64,Open,43.63286,3.898411,2026-01-01 00:03:57,24,37.5
01/01/2026,00:03:57,Voiture,Gaumont EST,74,109,Open,43.604526,3.91529,2026-01-01 00:03:57,35,32.11009174311927
01/01/2026,00:03:57,Voiture,Gaumont OUEST,5,250,Open,43.604824,3.914158,2026-01-01 00:03:57,245,98.0
01/01/2026,00:03:57,Voiture,Charles de Gaulle,174,260,Open,43.6285421,3.8977621,2026-01-01 00:03:57,86,33.07692307692307
01/01/2026,00:03:57,Voiture,Polygone,1013,1911,Open,43.607697,3.88515,2026-01-01 00:03:57,898,46.99110413396127
01/01/2026,00:03:57,Voiture,Arc de Triomphe,83,440,Open,43.61100267,3.8732007,2026-01-01 00:03:57,357,81.13636363636364
01/01/2026,00:03:57,Voiture,Gaumont-Circe,199,500,Open,43.60495377,3.9178495,2026-01-01 00:03:57,301,60.199999999999996
01/01/2026,00:13:57,Voiture,Antigone,172,239,Open,43.60871606,3.88881893,2026-01-01 00:13:57,67,28.03347280334728
01/01/2026,00:13:57,Voiture,Comedie,122,664,Open,43.60856092,3.87976196,2026-01-01 00:13:57,542,81.62650602409639
01/01/2026,00:13:57,Voiture,Corum,245,480,Open,43.61388821,3.88225773,2026-01-01 00:13:57,235,48.95833333333333
01/01/2026,00:13:57,Voiture,Europa,488,591,Open,43.60784971,3.89253074,2026-01-01 00:13:57,103,17.428087986463623
01/01/2026,00:13:57,Voiture,Foch,383,620,Open,43.61074912,3.87657084,2026-01-01 00:13:57,237,38.225806451612904
01/01/2026,00:13:57,Voiture,Gambetta,207,452,Open,43.60695138,3.87137436,2026-01-01 00:13:57,245,54.20353982300885
01/01/2026,00:13:57,Voiture,Gare,285,656,Open,43.604024,3.87891,2026-01-01 00:13:57,371,56.55487804878049
01/01/2026,00:13:57,Voiture,Triangle,274,434,Open,43.60923384,3.88184418,2026-01-01 00:13:57,160,36.86635944700461
01/01/2026,00:13:57,Voiture,Pitot,403,590,Open,43.61224494,3.87019117,2026-01-01 00:13:57,187,31.694915254237287
01/01/2026,00:13:57,Voiture,Circe,985,1200,Open,43.60495377,3.9178495,2026-01-01 00:13:57,215,17.916666666666668
01/01/2026,00:13:57,Voiture,Garcia Lorca,387,400,Open,43.59098509,3.8907158,2026-01-01 00:13:57,13,3.25
01/01/2026,00:13:57,Voiture,Mosson,307,328,Open,43.61623716,3.81966554,2026-01-01 00:13:57,21,6.402439024390244
01/01/2026,00:13:57,Voiture,Sabines,142,285,Open,43.58383263,3.8602246,2026-01-01 00:13:57,143,50.175438596491226
01/01/2026,00:13:57,Voiture,Sablassou,315,379,Open,43.63419194,3.92229536,2026-01-01 00:13:57,64,16.886543535620053
01/01/2026,00:13:57,Voiture,Saint Jean Le Sec,237,285,Open,43.57082225,3.8379312,2026-01-01 00:13:57,48,16.842105263157894
01/01/2026,00:13:57,Voiture,Euromedecine,169,239,Open,43.63895359,3.82772365,2026-01-01 00:13:57,70,29.288702928870293
01/01/2026,00:13:57,Voiture,Occitanie,550,615,Open,43.63456232,3.84859796,2026-01-01 00:13:57,65,10.569105691056912
01/01/2026,00:13:57,Voiture,Vicarello,40,64,Open,43.63286,3.898411,2026-01-01 00:13:57,24,37.5
01/01/2026,00:13:57,Voiture,Gaumont EST,74,109,Open,43.604526,3.91529,2026-01-01 00:13:57,35,32.11009174311927
01/01/2026,00:13:57,Voiture,Gaumont OUEST,5,250,Open,43.604824,3.914158,2026-01-01 00:13:57,245,98.0
01/01/2026,00:13:57,Voiture,Charles de Gaulle,174,260,Open,43.6285421,3.8977621,2026-01-01 00:13:57,86,33.07692307692307
01/01/2026,00:13:57,Voiture,Polygone,1013,1911,Open,43.607697,3.88515,2026-01-01 00:13:57,898,46.99110413396127
01/01/2026,00:13:57,Voiture,Arc de Triomphe,83,440,Open,43.61100267,3.8732007,2026-01-01 00:13:57,357,81.13636363636364
01/01/2026,00:13:57,Voiture,Gaumont-Circe,199,500,Open,43.60495377,3.9178495,2026-01-01 00:13:57,301,60.199999999999996
01/01/2026,00:23:57,Voiture,Antigone,172,239,Open,43.60871606,3.88881893,2026-01-01 00:23:57,67,28.03347280334728
01/01/2026,00:23:57,Voiture,Comedie,140,664,Open,43.60856092,3.87976196,2026-01-01 00:23:57,524,78.91566265060241
01/01/2026,00:23:57,Voiture,Corum,245,480,Open,43.61388821,3.88225773,2026-01-01 00:23:57,235,48.95833333333333
01/01/2026,00:23:57,Voiture,Europa,488,591,Open,43.60784971,3.89253074,2026-01-01 00:23:57,103,17.428087986463623
01/01/2026,00:23:57,Voiture,Foch,389,620,Open,43.61074912,3.87657084,2026-01-01 00:23:57,231,37.25806451612903
01/01/2026,00:23:57,Voiture,Gambetta,207,452,Open,43.60695138,3.87137436,2026-01-01 00:23:57,245,54.20353982300885
01/01/2026,00:23:57,Voiture,Gare,288,656,Open,43.604024,3.87891,2026-01-01 00:23:57,368,56.09756097560976
01/01/2026,00:23:57,Voiture,Triangle,274,434,Open,43.60923384,3.88184418,2026-01-01 00:23:57,160,36.86635944700461
01/01/2026,00:23:57,Voiture,Pitot,403,590,Open,43.61224494,3.87019117,2026-01-01 00:23:57,187,31.694915254237287
01/01/2026,00:23:57,Voiture,Circe,987,1200,Open,43.60495377,3.9178495,2026-01-01 00:23:57,213,17.75
01/01/2026,00:23:57,Voiture,Garcia Lorca,387,400,Open,43.59098509,3.8907158,2026-01-01 00:23:57,13,3.25
01/01/2026,00:23:57,Voiture,Mosson,307,328,Open,43.61623716,3.81966554,2026-01-01 00:23:57,21,6.402439024390244
01/01/2026,00:23:57,Voiture,Sabines,142,285,Open,43.58383263,3.8602246,2026-01-01 00:23:57,143,50.175438596491226
01/01/2026,00:23:57,Voiture,Sablassou,315,379,Open,43.63419194,3.92229536,2026-01-01 00:23:57,64,16.886543535620053
01/01/2026,00:23:57,Voiture,Saint Jean Le Sec,237,285,Open,43.57082225,3.8379312,2026-01-01 00:23:57,48,16.842105263157894
01/01/2026,00:23:57,Voiture,Euromedecine,169,239,Open,43.63895359,3.82772365,2026-01-01 00:23:57,70,29.288702928870293
01/01/2026,00:23:57,Voiture,Occitanie,550,615,Open,43.63456232,3.84859796,2026-01-01 00:23:57,65,10.569105691056912
01/01/2026,00:23:57,Voiture,Vicarello,40,64,Open,43.63286,3.898411,2026-01-01 00:23:57,24,37.5
01/01/2026,00:23:57,Voiture,Gaumont EST,74,109,Open,43.604526,3.91529,2026-01-01 00:23:57,35,32.11009174311927
01/01/2026,00:23:57,Voiture,Gaumont OUEST,5,250,Open,43.604824,3.914158,2026-01-01 00:23:57,245,98.0
01/01/2026,00:23:57,Voiture,Charles de Gaulle,174,260,Open,43.6285421,3.8977621,2026-01-01 00:23:57,86,33.07692307692307
01/01/2026,00:23:57,Voiture,Polygone,1013,1911,Open,43.607697,3.88515,2026-01-01 00:23:57,898,46.99110413396127
01/01/2026,00:23:57,Voiture,Arc de Triomphe,87,440,Open,43.61100267,3.8732007,2026-01-01 00:23:57,353,80.22727272727272
01/01/2026,00:23:57,Voiture,Gaumont-Circe,199,500,Open,43.60495377,3.9178495,2026-01-01 00:23:57,301,60.199999999999996
01/01/2026,00:33:57,Voiture,Antigone,172,239,Open,43.60871606,3.88881893,2026-01-01 00:33:57,67,28.03347280334728
01/01/2026,00:33:57,Voiture,Comedie,168,664,Open,43.60856092,3.87976196,2026-01-01 00:33:57,496,74.69879518072288
01/01/2026,00:33:57,Voiture,Corum,256,480,Open,43.61388821,3.88225773,2026-01-01 00:33:57,224,46.666666666666664
01/01/2026,00:33:57,Voiture,Europa,488,591,Open,43.60784971,3.89253074,2026-01-01 00:33:57,103,17.428087986463623
01/01/2026,00:33:57,Voiture,Foch,398,620,Open,43.61074912,3.87657084,2026-01-01 00:33:57,222,35.80645161290323
01/01/2026,00:33:57,Voiture,Gambetta,210,452,Open,43.60695138,3.87137436,2026-01-01 00:33:57,242,53.53982300884957
01/01/2026,00:33:57,Voiture,Gare,289,656,Open,43.604024,3.87891,2026-01-01 00:33:57,367,55.94512195121951
01/01/2026,00:33:57,Voiture,Triangle,274,434,Open,43.60923384,3.88184418,2026-01-01 00:33:57,160,36.86635944700461
01/01/2026,00:33:57,Voiture,Pitot,403,590,Open,43.61224494,3.87019117,2026-01-01 00:33:57,187,31.694915254237287
01/01/2026,00:33:57,Voiture,Circe,989,1200,Open,43.60495377,3.9178495,2026-01-01 00:33:57,211,17.583333333333336
01/01/2026,00:33:57,Voiture,Garcia Lorca,388,400,Open,43.59098509,3.8907158,2026-01-01 00:33:57,12,3.0
