Date;Heure;Type;Nom;Disponibilite;Capacite;Statut;Latitude;Longitude
31/12/2025;00:03:56;Vélo;Rue Jules Ferry - Gare Saint-Roch;6;12;working;43.605366;3.881346
31/12/2025;00:03:56;Vélo;Comédie;8;20;working;43.608148;3.878778
31/12/2025;00:03:56;Vélo;Hôtel de Ville;9;16;working;43.599088;3.894866
31/12/2025;00:03:56;Vélo;Corum;7;12;working;43.613989;3.8816
31/12/2025;00:03:56;Vélo;Place Albert 1er - St Charles;8;27;working;43.616768;3.873375
31/12/2025;00:03:56;Vélo;Foch;2;8;working;43.610989;3.873345
31/12/2025;00:03:56;Vélo;Halles Castellane;0;12;working;43.609935;3.877208
31/12/2025;00:03:56;Vélo;Observatoire;4;8;working;43.606301;3.87724
31/12/2025;00:03:56;Vélo;Rondelet;5;16;working;43.603038;3.875796
31/12/2025;00:03:56;Vélo;Plan Cabanes;5;12;working;43.608491;3.868389
31/12/2025;00:03:56;Vélo;Boutonnet;5;12;working;43.622629;3.868375
31/12/2025;00:03:56;Vélo;Emile Combes;4;8;working;43.616742;3.87998
31/12/2025;00:03:56;Vélo;Beaux-Arts;13;16;working;43.616698;3.884981
31/12/2025;00:03:56;Vélo;Les Aubes;5;8;working;43.618692;3.893844
31/12/2025;00:03:56;Vélo;Antigone centre;2;12;working;43.607942;3.890634
31/12/2025;00:03:56;Vélo;Médiathèque Emile Zola;5;16;working;43.608218;3.89314
31/12/2025;00:03:56;Vélo;Nombre d Or;9;16;working;43.607859;3.886644
31/12/2025;00:03:56;Vélo;Louis Blanc;5;16;working;43.614642;3.877648
31/12/2025;00:03:56;Vélo;Gambetta;4;8;working;43.607106;3.870693
31/12/2025;00:03:56;Vélo;Port Marianne;11;16;working;43.60032;3.89851
31/12/2025;00:03:56;Vélo;Les Arceaux;3;8;working;43.612659;3.867734
31/12/2025;00:03:56;Vélo;Cité Mion;2;8;working;43.601143;3.884373
31/12/2025;00:03:56;Vélo;Nouveau Saint-Roch;1;8;working;43.599817;3.875757
31/12/2025;00:03:56;Vélo;Renouvier;2;8;working;43.603553;3.867884
31/12/2025;00:03:56;Vélo;Odysseum;0;8;working;43.603727;3.918979
31/12/2025;00:03:56;Vélo;Saint-Denis;0;8;working;43.605021;3.875065
31/12/2025;00:03:56;Vélo;Richter;7;16;working;43.603424;3.899263
31/12/2025;00:03:56;Vélo;Charles Flahault;0;8;working;43.622038;3.86672
31/12/2025;00:03:56;Vélo;Voltaire;4;8;working;43.603767;3.888659
31/12/2025;00:03:56;Vélo;Prés d Arènes;6;8;working;43.59048;3.884611
31/12/2025;00:03:56;Vélo;Garcia Lorca;7;8;working;43.590757;3.890616
31/12/2025;00:03:56;Vélo;Vert Bois;7;16;working;43.63543;3.871179
31/12/2025;00:03:56;Vélo;Malbosc;2;8;working;43.633679;3.832861
31/12/2025;00:03:56;Vélo;Occitanie;9;32;working;43.635689;3.849597
31/12/2025;00:03:56;Vélo;FacdesSciences;7;24;working;43.631318;3.861299
31/12/2025;00:03:56;Vélo;Fac de Lettres;9;12;working;43.630437;3.869539
31/12/2025;00:03:56;Vélo;Aiguelongue;2;8;working;43.626163;3.882492
31/12/2025;00:03:56;Vélo;Jeu de Mail des Abbés;1;8;working;43.619701;3.883831
31/12/2025;00:03:56;Vélo;Euromédecine;5;8;working;43.639119;3.828199
31/12/2025;00:03:56;Vélo;Marie Caizergues;3;8;working;43.619871;3.873812
31/12/2025;00:03:56;Vélo;Sabines;1;8;working;43.584211;3.860031
31/12/2025;00:03:56;Vélo;Celleneuve;5;8;working;43.61467;3.832624
31/12/2025;00:03:56;Vélo;Jardin de la Lironde;4;8;working;43.60585;3.911576
31/12/2025;00:03:56;Vélo;Père Soulas;5;8;working;43.621983;3.855603
31/12/2025;00:03:56;Vélo;Place Viala;5;8;working;43.616812;3.855075
31/12/2025;00:03:56;Vélo;Hôtel du Département;5;8;working;43.621682;3.83477
31/12/2025;00:03:56;Vélo;Tonnelles;1;8;working;43.615155;3.839466
31/12/2025;00:03:56;Vélo;Parvis Jules Ferry - Gare Saint-Roch;2;8;working;43.603889;3.879362
31/12/2025;00:03:56;Vélo;Pont de Lattes - Gare Saint-Roch;4;12;working;43.606036;3.882393
31/12/2025;00:03:56;Vélo;Deux Ponts - Gare Saint-Roch;0;8;working;43.604319;3.880916
31/12/2025;00:03:56;Vélo;Providence - Ovalie;3;8;working;43.588239;3.853421
31/12/2025;00:03:56;Vélo;Pérols Etang de l Or;43;68;working;43.558351;3.963412
31/12/2025;00:03:56;Vélo;Albert 1er - Cathédrale;4;12;working;43.614005;3.873218
31/12/2025;00:03:56;Vélo;Saint-Guilhem - Courreau;5;8;working;43.608996;3.872752
31/12/2025;00:03:56;Vélo;Sud De France;4;8;working;43.59562;3.9235
31/12/2025;00:03:56;Vélo;Comedie Baudin;0;8;working;43.608717;3.880787
31/12/2025;00:03:56;Vélo;Jean de Beins;4;16;working;43.609857;3.883884
31/12/2025;00:13:56;Vélo;Rue Jules Ferry - Gare Saint-Roch;6;12;working;43.605366;3.881346
31/12/2025;00:13:56;Vélo;Comédie;8;20;working;43.608148;3.878778
31/12/2025;00:13:56;Vélo;Hôtel de Ville;9;16;working;43.599088;3.894866
31/12/2025;00:13:56;Vélo;Corum;7;12;working;43.613989;3.8816
31/12/2025;00:13:56;Vélo;Place Albert 1er - St Charles;8;27;working;43.616768;3.873375
31/12/2025;00:13:56;Vélo;Foch;2;8;working;43.610989;3.873345
